dataset,year,variable,short,value,value_label,count,is_valid
CGSS,2018,a425,equal-housework-split,2,比较不同意,1227,True
CGSS,2018,a425,equal-housework-split,3,无所谓同意不同意,2109,True
CGSS,2018,a425,equal-housework-split,4,比较同意,5405,True
CGSS,2018,a425,equal-housework-split,5,完全同意,3673,True
CGSS,2018,a425,equal-housework-split,98,不知道,59,False
CGSS,2018,a425,equal-housework-split,99,拒绝回答,9,False
CGSS,2023,a421,men-career/women-family,-3,拒绝回答,4,False
CGSS,2023,a421,men-career/women-family,-2,不知道,22,False
CGSS,2023,a421,men-career/women-family,1,完全不同意,1303,True
CGSS,2023,a421,men-career/women-family,2,比较不同意,1674,True
CGSS,2023,a421,men-career/women-family,3,无所谓同意不同意,771,True
CGSS,2023,a421,men-career/women-family,4,比较同意,1964,True
CGSS,2023,a421,men-career/women-family,5,完全同意,1283,True
CGSS,2023,a422,men-innately-more-capable,-3,拒绝回答,4,False
CGSS,2023,a422,men-innately-more-capable,-2,不知道,55,False
CGSS,2023,a422,men-innately-more-capable,1,完全不同意,1546,True
CGSS,2023,a422,men-innately-more-capable,2,比较不同意,2125,True
CGSS,2023,a422,men-innately-more-capable,3,无所谓同意不同意,811,True
CGSS,2023,a422,men-innately-more-capable,4,比较同意,1618,True
CGSS,2023,a422,men-innately-more-capable,5,完全同意,862,True
CGSS,2023,a423,marry-well-over-work,-3,拒绝回答,6,False
CGSS,2023,a423,marry-well-over-work,-2,不知道,83,False
CGSS,2023,a423,marry-well-over-work,1,完全不同意,1299,True
CGSS,2023,a423,marry-well-over-work,2,比较不同意,1651,True
CGSS,2023,a423,marry-well-over-work,3,无所谓同意不同意,1024,True
CGSS,2023,a423,marry-well-over-work,4,比较同意,1910,True
CGSS,2023,a423,marry-well-over-work,5,完全同意,1048,True
CGSS,2023,a424,fire-women-first,-3,拒绝回答,3,False
CGSS,2023,a424,fire-women-first,-2,不知道,124,False
CGSS,2023,a424,fire-women-first,1,完全不同意,3403,True
CGSS,2023,a424,fire-women-first,2,比较不同意,2018,True
CGSS,2023,a424,fire-women-first,3,无所谓同意不同意,668,True
CGSS,2023,a424,fire-women-first,4,比较同意,558,True
CGSS,2023,a424,fire-women-first,5,完全同意,247,True
CGSS,2023,a425,equal-housework-split,-3,拒绝回答,6,False
CGSS,2023,a425,equal-housework-split,-2,不知道,27,False
CGSS,2023,a425,equal-housework-split,1,完全不同意,267,True
CGSS,2023,a425,equal-housework-split,2,比较不同意,492,True
CGSS,2023,a425,equal-housework-split,3,无所谓同意不同意,766,True
CGSS,2023,a425,equal-housework-split,4,比较同意,2423,True
CGSS,2023,a425,equal-housework-split,5,完全同意,3040,True
CGSS,2021,A42_1,men-career/women-family,1,完全不同意,1097,True
CGSS,2021,A42_1,men-career/women-family,2,比较不同意,2024,True
CGSS,2021,A42_1,men-career/women-family,3,无所谓同意不同意,874,True
CGSS,2021,A42_1,men-career/women-family,4,比较同意,2607,True
CGSS,2021,A42_1,men-career/women-family,5,完全同意,1477,True
CGSS,2021,A42_1,men-career/women-family,98,不知道,65,False
CGSS,2021,A42_1,men-career/women-family,99,拒绝回答,4,False
CGSS,2021,A42_2,men-innately-more-capable,1,完全不同意,1447,True
CGSS,2021,A42_2,men-innately-more-capable,2,比较不同意,2597,True
CGSS,2021,A42_2,men-innately-more-capable,3,无所谓同意不同意,960,True
CGSS,2021,A42_2,men-innately-more-capable,4,比较同意,2090,True
CGSS,2021,A42_2,men-innately-more-capable,5,完全同意,947,True
CGSS,2021,A42_2,men-innately-more-capable,98,不知道,101,False
CGSS,2021,A42_2,men-innately-more-capable,99,拒绝回答,6,False
CGSS,2021,A42_3,marry-well-over-work,1,完全不同意,1379,True
CGSS,2021,A42_3,marry-well-over-work,2,比较不同意,2138,True
CGSS,2021,A42_3,marry-well-over-work,3,无所谓同意不同意,1115,True
CGSS,2021,A42_3,marry-well-over-work,4,比较同意,2270,True
CGSS,2021,A42_3,marry-well-over-work,5,完全同意,1101,True
CGSS,2021,A42_3,marry-well-over-work,98,不知道,135,False
CGSS,2021,A42_3,marry-well-over-work,99,拒绝回答,10,False
CGSS,2021,A42_4,fire-women-first,1,完全不同意,3248,True
CGSS,2021,A42_4,fire-women-first,2,比较不同意,2790,True
CGSS,2021,A42_4,fire-women-first,3,无所谓同意不同意,901,True
CGSS,2021,A42_4,fire-women-first,4,比较同意,626,True
CGSS,2021,A42_4,fire-women-first,5,完全同意,247,True
CGSS,2021,A42_4,fire-women-first,98,不知道,320,False
CGSS,2021,A42_4,fire-women-first,99,拒绝回答,16,False
CGSS,2021,A42_5,equal-housework-split,1,完全不同意,252,True
CGSS,2021,A42_5,equal-housework-split,2,比较不同意,654,True
CGSS,2021,A42_5,equal-housework-split,3,无所谓同意不同意,850,True
CGSS,2021,A42_5,equal-housework-split,4,比较同意,3139,True
CGSS,2021,A42_5,equal-housework-split,5,完全同意,3192,True
CGSS,2021,A42_5,equal-housework-split,98,不知道,54,False
CGSS,2021,A42_5,equal-housework-split,99,拒绝回答,7,False
